task_id,system,subsystem,location_or_asset,task_name,cadence,frequency_in_days,cadence_anchor,actor_type,amc_vendor,acceptance_criteria,evidence_required,reference_policy,nabh_standard_ref,priority_weight,draft_status,notes
FT-094,Hazmat & BMW,Hazmat Storage,Designated Stores,"Chemical / disinfectant storage — labels intact, MSDS present, ventilation OK, restricted access enforced",weekly,7,every Monday,in_house,,Labels legible; MSDS file present at point-of-use; vents clear; door locked,selfie+photo,FMS.3.e,FMS.3.e,80,proposed,
FT-095,Hazmat & BMW,Spill Kits,Lab + Stores + BMW + Engineering,"Spill kit inventory — contents per kit list, expiry dates of any reagents",monthly,30,1st of month,in_house,,All kit components present; reagents within expiry; PPE included; placement signage in place,selfie+photo,FMS.3.f,FMS.3.f,80,proposed,
FT-096,Hazmat & BMW,MSDS Files,All Hazmat Use Areas,MSDS file presence + currency — every hazmat use area has up-to-date MSDS for each chemical,monthly,30,15th of month,in_house,,MSDS within last 5 years; covers all chemicals stored; index page current,selfie+photo,FMS.3.e,FMS.3.e,70,proposed,
FT-097,Hazmat & BMW,BMW Vendor,BMW Storage Area,"BMW pickup vendor visit — verify weights, lot numbers, manifest signed",weekly,7,per vendor schedule,amc_supervised,BMW transporter (KSPCB-authorized),Vendor manifests signed; weight per category logged; vehicle registration verified,selfie+vendor_report+next_due_date,"BMW Rules 2016, KSPCB CFO",FMS.3.e,85,proposed,
FT-098,Hazmat & BMW,Spill Drill,Lab + Pharmacy + BMW,"Mock spill drill (chemical or BMW) — staff response, kit deployment, area decontamination",semi_annual,180,April / October,in_house,,Spill identified; kit deployed within 5 min; area decontaminated; documentation filed,selfie+photo,FMS.3.f,FMS.3.f,80,proposed,Aligns with Code Orange SOP
FT-099,Security,CCTV,Security Room,"CCTV operational walk-by — all cameras showing live feed, recording active, no offline cameras",daily,1,every day,in_house,,All cameras live; recording indicator on; date/time correct; no 'offline' messages,selfie+photo,FMS.3.a,FMS.3.a,80,proposed,
FT-100,Security,Access Points,All Entrances,"Security guard deployment + visitor pass system — guard on post, pass register active",daily,1,every day,in_house,,Guards on duty per roster; visitor pass register up to date; bag checks happening,selfie+photo,FMS.3.a,FMS.3.a,70,proposed,
FT-101,Security,CCTV Recording,Security Room,CCTV recording integrity — pull random 24-hour playback from each zone; storage retention OK,weekly,7,every Friday,in_house,,Random playback samples retrieve cleanly; storage not at limit; retention ≥30 days,selfie+photo,FMS.3.a,FMS.3.a,70,proposed,
FT-102,Security,Security Risk Assessment,Whole Hospital,"Annual security risk assessment by multidisciplinary team — review threats, mitigation, CAPA",annual,365,prior assessment anniversary,in_house,,Updated risk register; new mitigation actions; signed off in FMS Committee,selfie+photo,FMS.3.a,FMS.3.a,75,proposed,
FT-103,Pest Control,Pest Sightings,All Floors,Pest sighting log — record any sighting with location/time during daily rounds,daily,1,every day,in_house,,"If no sighting, log 'nil'; sightings noted with location for vendor escalation",selfie+photo,FMS.4.c,FMS.4.c,55,proposed,
FT-104,Pest Control,Pest Vendor,Whole Hospital,"Monthly pest control vendor visit — bait stations, gel application, areas covered",monthly,30,calendar month,amc_supervised,Pest control vendor,All zones covered per contract; bait/gel applied; vendor service report filed,selfie+vendor_report+next_due_date,FMS.4.c,FMS.4.c,70,proposed,
FT-105,Pest Control,Fogging,Outdoor + storage,Quarterly fogging treatment for mosquitos / outdoor pests,quarterly,90,calendar quarter,amc_supervised,Pest control vendor,Outdoor areas + outdoor storage fogged; report filed,selfie+vendor_report+next_due_date,FMS.4.c,FMS.4.c,60,proposed,
FT-106,Statutory,Fire NOC,Admin Office,Renew Fire NOC before expiry,statutory_renewal,365,renewal due date - file individually,statutory,Karnataka State Fire & Emergency Services,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,Fire Advice Even Hospitals 250626 (filed 2025-06-26),FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-107,Statutory,KSPCB CFO,Admin Office,Renew Consent for Operation (CFO) + BMW authorization,statutory_renewal,365,renewal due date - file individually,statutory,Karnataka State Pollution Control Board,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,KSPCB Clearance-CFO & BMW filed,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-108,Statutory,KPME Registration,Admin Office,Renew KPME hospital registration,statutory_renewal,365,renewal due date - file individually,statutory,Karnataka Health Dept,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,KPME Registration filed,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-109,Statutory,BMW Authorization,Admin Office,Renew BMW handler authorization,statutory_renewal,365,renewal due date - file individually,statutory,KSPCB,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,KSPCB Clearance-CFO & BMW filed,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-110,Statutory,Narcotics Licence,Admin Office,Renew narcotics handling licence,statutory_renewal,365,renewal due date - file individually,statutory,"Drugs Controller, Karnataka",Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,Narcotics Licence filed,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-111,Statutory,AERB Licence (CT Scanner),Admin Office,Renew CT scanner radiation licence + RSO requirements,statutory_renewal,365,renewal due date - file individually,statutory,Atomic Energy Regulatory Board,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,CT installation licence,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-112,Statutory,PCPNDT Licence,Admin Office,Renew PCPNDT licence (if USG/imaging),statutory_renewal,365,renewal due date - file individually,statutory,District Health Officer,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,PCPNDT Licence filed,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-113,Statutory,Trade Licence,Admin Office,Renew BBMP Trade Licence,statutory_renewal,365,renewal due date - file individually,statutory,BBMP,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,Trade Licence filed,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-114,Statutory,Lift Inspection Certificate,Admin Office,Renew lift fitness certificate,statutory_renewal,365,renewal due date - file individually,statutory,Inspectorate of Factories Karnataka,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,Lift Inspection cert,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-115,Statutory,Electrical Safety Audit Cert,Admin Office,Annual electrical safety audit certificate,statutory_renewal,365,renewal due date - file individually,statutory,Class I Electrical Contractor,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,Audit report,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-116,Statutory,Structural Safety Cert,Admin Office,Periodic structural safety certificate (typically 5-yearly),statutory_renewal,365,renewal due date - file individually,statutory,Qualified Structural Engineer,Renewed certificate received; previous expiry not yet hit; lead-time milestones logged,selfie+vendor_report+next_due_date,Structural Safety Certificate,FMS.1.a (compliance),95,proposed,"Lead-time triggers: 180d yellow, 90d orange, 30d red, expired critical"
FT-117,Facility Rounds,Daily Round,Whole Building,Facility Manager daily inspection round — covers all systems above + housekeeping + safety,daily,1,every day,in_house,,Round documented in FMSTracker; all flagged items raised in Even Bell or app,selfie+photo,FMS.1.c,FMS.1.c,100,proposed,Per FMS.1.c: 'Facility Manager should do daily rounds' — Charan's responsibility
FT-118,Facility Rounds,Monthly Round,Whole Building,Unit Head monthly inspection round — joint with FMS Committee + Quality,monthly,30,1st of month,in_house,,Round documented; CAPA assigned for findings; presented at FMS Committee,selfie+photo,FMS.1.c,FMS.1.c,90,proposed,Per FMS.1.c: 'Monthly rounds should be done by Unit Head'
FT-119,Facility Rounds,FMS Committee Meeting,Conference Room,"Monthly FMS Committee meeting — review rounds, CAPAs, downtime, statutory status, audits",monthly,30,end of month,in_house,,Meeting held; minutes filed; CAPA register reviewed; statutory dashboard reviewed,selfie+photo,"FMS.1.d, FMS.4.g","FMS.1.d, FMS.4.c",85,proposed,
